molecular_weight,logP,tpsa,hbd,hba,rotatable_bonds,qed,vina_score,num_rings,aromatic_rings,caco2,bbb_logBB,h2o_sol_logS,bioavailability,sascore,plip_hbonds,plip_hydrophobic,plip_pi_stack,electrostatic_descriptor,topological_psa,pKd,affinity_nM,target_id,source_phytochemical,evidence_tier,notes
469.71,-0.35,71.25,1,4,1,0.708,-4.809,1,4,-5.156,-1.911,-4.907,0.6,2.13,1,8,3,-1.677,73.04,5.866,1362.48,T010_ERa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
523.99,-0.157,117.63,4,10,2,0.243,-7.691,2,0,-4.81,0.026,-4.824,0.37,6.45,1,0,0,-0.485,119.3,5.168,6791.9,T006_Mpro,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
617.35,0.726,137.43,1,6,6,0.298,-6.659,4,2,-4.142,0.807,-5.953,0.67,4.81,0,1,1,0.035,130.08,4.729,18653.9,T003_TLR4,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
292.49,2.129,111.48,2,11,10,0.597,-6.491,5,2,-4.136,-1.689,-1.609,0.46,6.45,5,8,1,-1.366,113.58,7.572,26.78,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
251.8,3.305,69.6,3,6,0,0.269,-8.323,3,0,-5.993,0.313,-2.814,0.46,5.71,4,6,0,-2.329,78.5,7.94,11.49,T001_mGluR2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
441.25,0.389,49.12,2,7,0,0.874,-9.924,2,0,-5.293,-0.32,-1.626,0.88,5.75,1,2,1,2.288,39.61,7.359,43.78,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
541.19,1.97,130.49,5,5,4,0.319,-6.24,4,0,-4.283,-1.333,-1.917,0.58,3.53,1,3,0,0.96,128.46,5.345,4522.66,T010_ERa,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
325.57,2.556,131.93,6,10,5,0.904,-10.635,3,1,-4.839,0.951,-5.809,0.66,3.73,2,6,0,-0.689,133.46,8.309,4.9,T004_FactorXa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
504.39,-0.49,168.84,4,12,10,0.348,-8.265,6,2,-4.754,-0.01,-5.377,0.84,4.54,5,6,2,-0.586,164.75,7.477,33.37,T005_BACE1,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
457.76,1.306,112.19,0,6,4,0.358,-5.607,5,2,-5.07,-0.674,-4.931,0.58,6.51,5,2,0,-1.297,115.47,6.178,664.19,T006_Mpro,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
196.69,5.212,65.23,2,5,3,0.311,-11.153,4,4,-4.301,-1.782,-3.928,0.68,2.97,5,6,3,-0.602,58.18,9.5,0.32,T010_ERa,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
539.21,0.813,150.62,5,10,7,0.238,-9.631,1,3,-5.733,-0.606,-3.344,0.64,3.59,3,8,3,1.983,151.57,7.367,42.98,T003_TLR4,Berberine,3,Synthetic - ML prediction tier; NOT experimental
375.03,4.011,155.98,2,10,7,0.67,-9.441,1,2,-5.531,-0.992,-1.535,0.35,2.75,3,2,1,-2.615,154.13,6.855,139.53,T003_TLR4,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
344.74,4.119,171.91,0,11,6,0.558,-4.429,3,3,-4.293,0.86,-3.905,0.75,4.73,4,3,3,-1.683,170.63,5.403,3949.57,T001_mGluR2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
318.06,3.575,90.65,1,9,2,0.936,-7.494,4,4,-4.871,-1.919,-2.786,0.38,4.31,0,4,3,-1.036,89.74,6.289,514.5,T004_FactorXa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
276.14,-0.009,32.91,4,2,5,0.368,-10.985,6,0,-4.492,0.849,-5.003,0.31,2.76,1,7,0,0.384,27.27,9.274,0.53,T007_COX2,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
533.45,0.507,121.09,5,3,2,0.924,-10.689,1,2,-4.848,0.724,-4.123,0.86,2.99,4,3,0,1.183,117.12,7.821,15.11,T010_ERa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
323.6,2.07,85.59,4,12,5,0.209,-8.35,4,0,-5.133,-0.913,-1.542,0.58,2.76,1,8,2,0.695,93.98,6.947,113.02,T010_ERa,Berberine,3,Synthetic - ML prediction tier; NOT experimental
382.44,4.454,118.87,2,5,1,0.409,-8.119,4,4,-4.779,-0.863,-5.857,0.81,2.91,1,5,2,-0.958,126.48,7.008,98.28,T001_mGluR2,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
624.03,0.014,138.01,3,10,3,0.718,-6.656,4,3,-4.414,-1.721,-4.892,0.72,3.53,4,5,3,0.321,134.89,6.296,505.8,T007_COX2,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
315.4,3.717,70.64,2,5,1,0.741,-9.133,6,4,-4.098,0.07,-5.042,0.74,3.38,4,8,2,2.883,77.29,9.186,0.65,T004_FactorXa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
504.01,0.259,36.83,0,10,4,0.723,-10.553,4,0,-4.255,-0.278,-3.653,0.56,2.92,0,4,3,-2.315,28.13,8.285,5.19,T005_BACE1,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
438.51,3.619,52.76,6,11,4,0.264,-9.639,5,3,-4.787,0.372,-4.872,0.61,4.25,3,4,3,-1.168,55.18,8.096,8.02,T010_ERa,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
462.76,1.088,42.18,1,4,8,0.256,-11.48,4,4,-5.06,-1.902,-4.559,0.47,6.3,0,3,2,1.727,44.68,7.862,13.74,T007_COX2,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
362.57,2.767,127.15,2,4,1,0.245,-5.555,5,4,-4.158,-0.683,-3.657,0.48,4.01,2,8,3,-0.373,129.11,6.929,117.88,T006_Mpro,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
162.93,0.874,131.14,6,11,9,0.913,-4.003,6,2,-4.848,0.289,-5.124,0.61,4.21,2,2,3,0.809,130.98,4.289,51369.59,T001_mGluR2,Berberine,3,Synthetic - ML prediction tier; NOT experimental
323.98,1.5,130.52,6,4,5,0.509,-7.784,6,3,-4.373,-0.35,-3.726,0.49,3.62,3,8,0,0.946,131.37,7.062,86.66,T004_FactorXa,Berberine,3,Synthetic - ML prediction tier; NOT experimental
462.7,4.06,60.53,4,4,4,0.529,-6.263,1,0,-4.054,-0.173,-4.804,0.4,4.75,4,6,0,-1.652,67.36,7.5,31.63,T001_mGluR2,Berberine,3,Synthetic - ML prediction tier; NOT experimental
623.53,3.386,53.1,5,6,8,0.729,-8.384,4,3,-5.513,-0.346,-4.082,0.85,4.54,1,1,2,1.636,60.18,6.807,156.09,T004_FactorXa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
291.42,1.291,118.04,5,9,2,0.535,-7.867,3,4,-4.474,-0.868,-1.336,0.82,6.9,1,6,1,2.136,116.26,7.348,44.83,T004_FactorXa,Berberine,3,Synthetic - ML prediction tier; NOT experimental
502.61,4.368,87.91,5,12,2,0.571,-11.222,5,4,-5.336,-1.699,-1.775,0.36,6.55,0,2,3,2.226,97.31,8.95,1.12,T004_FactorXa,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
461.63,1.885,42.05,2,12,8,0.485,-9.125,6,3,-4.255,-1.892,-5.658,0.68,6.6,1,1,3,2.87,47.25,7.809,15.52,T007_COX2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
371.84,3.664,165.51,0,7,0,0.42,-8.689,2,1,-4.938,-0.302,-2.037,0.4,2.39,3,3,3,2.477,158.38,7.046,89.92,T004_FactorXa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
599.45,2.292,73.14,4,4,1,0.531,-8.908,5,2,-4.722,-0.727,-4.75,0.81,3.0,3,7,0,-1.577,74.58,8.169,6.78,T006_Mpro,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
646.35,1.271,176.69,5,8,4,0.206,-5.012,6,0,-4.179,0.236,-1.836,0.84,5.88,1,5,1,0.82,179.11,4.435,36764.32,T007_COX2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
464.12,4.92,126.95,2,9,0,0.635,-6.007,1,2,-5.347,-0.753,-4.996,0.77,6.38,2,8,2,1.983,122.09,6.477,333.08,T010_ERa,Berberine,3,Synthetic - ML prediction tier; NOT experimental
633.69,1.271,160.56,6,3,7,0.922,-10.444,2,3,-4.065,0.414,-4.171,0.77,2.07,4,1,3,-0.788,165.54,7.671,21.32,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
204.17,0.903,33.75,4,7,9,0.366,-11.026,4,2,-4.702,-1.65,-5.773,0.32,6.98,0,1,1,2.324,26.47,8.157,6.96,T005_BACE1,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
485.24,3.959,171.9,3,11,2,0.864,-6.588,4,4,-5.184,0.855,-5.836,0.52,4.22,1,5,0,2.886,169.24,6.47,339.17,T001_mGluR2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
287.94,5.309,172.35,6,9,1,0.697,-6.687,5,0,-5.899,-0.999,-1.056,0.77,3.03,4,3,1,1.878,167.01,6.377,419.91,T010_ERa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
544.32,3.076,71.59,1,4,8,0.388,-10.191,6,0,-5.736,-0.925,-2.058,0.65,2.08,2,0,1,1.45,72.11,7.712,19.39,T010_ERa,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
406.62,0.154,105.58,4,2,10,0.591,-8.065,1,0,-4.003,0.542,-3.869,0.36,5.56,3,1,0,-1.067,98.54,5.818,1521.44,T003_TLR4,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
462.16,3.012,136.82,3,11,8,0.421,-7.708,4,0,-4.414,-1.657,-2.726,0.83,4.76,1,6,3,2.329,135.1,7.165,68.35,T007_COX2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
306.27,1.375,68.23,1,12,7,0.25,-5.262,1,3,-5.807,0.216,-1.941,0.63,4.93,4,8,2,1.02,66.45,6.673,212.53,T010_ERa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
584.05,3.826,175.26,4,6,5,0.278,-7.694,2,3,-5.552,-1.675,-1.773,0.52,5.81,4,3,3,2.071,184.75,7.273,53.29,T007_COX2,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
163.13,5.075,154.42,2,2,2,0.405,-5.782,3,2,-5.988,0.61,-3.168,0.54,2.71,5,0,0,1.477,148.72,5.531,2943.63,T005_BACE1,Berberine,3,Synthetic - ML prediction tier; NOT experimental
320.45,1.72,138.24,6,11,9,0.264,-11.105,2,4,-5.9,-1.755,-3.784,0.55,5.04,3,4,1,1.53,130.52,7.934,11.65,T007_COX2,Berberine,3,Synthetic - ML prediction tier; NOT experimental
413.47,1.351,63.08,4,2,0,0.353,-4.41,2,2,-5.421,-1.64,-3.513,0.56,2.65,4,3,2,-2.568,70.31,5.914,1219.19,T001_mGluR2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
159.37,5.027,159.32,4,8,9,0.503,-6.699,3,0,-5.19,0.899,-5.141,0.87,4.3,5,5,0,-0.38,151.43,6.704,197.83,T001_mGluR2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
585.26,3.975,63.24,6,4,1,0.583,-10.645,5,1,-4.188,-0.952,-2.363,0.79,6.08,1,1,1,-1.464,56.71,8.083,8.26,T003_TLR4,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
238.57,4.137,104.12,6,11,9,0.537,-4.569,5,4,-5.354,0.913,-4.419,0.56,4.34,5,4,2,0.549,101.16,6.926,118.56,T001_mGluR2,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
334.37,1.222,126.7,6,3,9,0.646,-8.616,5,4,-4.092,0.217,-5.795,0.85,4.86,1,5,3,0.008,135.85,7.177,66.56,T005_BACE1,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
555.48,4.524,177.36,0,10,10,0.329,-9.642,4,3,-4.952,-0.171,-4.181,0.85,3.94,2,0,2,-2.605,169.25,6.592,255.84,T007_COX2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
316.68,2.996,51.21,2,6,10,0.724,-8.56,5,0,-5.381,-0.87,-2.042,0.79,5.35,5,8,0,0.876,49.68,8.736,1.84,T004_FactorXa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
331.3,0.582,62.13,6,9,3,0.37,-10.468,1,2,-4.311,-1.697,-2.146,0.8,6.42,0,5,1,0.583,55.21,8.013,9.71,T006_Mpro,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
510.59,-0.238,84.64,5,5,7,0.658,-5.857,4,1,-4.932,-1.072,-1.957,0.58,6.18,2,7,3,1.617,90.21,7.043,90.63,T006_Mpro,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
359.33,0.472,59.95,4,4,4,0.239,-7.896,3,4,-4.131,0.134,-3.42,0.37,2.42,1,4,3,2.432,52.9,6.07,851.81,T003_TLR4,Berberine,3,Synthetic - ML prediction tier; NOT experimental
592.31,5.083,92.23,3,10,5,0.377,-4.041,3,1,-5.944,0.792,-1.804,0.69,5.96,1,0,2,2.504,91.68,5.364,4324.22,T010_ERa,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
529.42,2.315,122.3,0,2,4,0.362,-10.379,6,4,-4.944,-1.666,-4.559,0.48,2.24,3,7,0,-2.335,130.41,8.235,5.82,T006_Mpro,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
509.27,1.248,30.23,2,5,9,0.512,-6.517,1,4,-4.051,-1.797,-3.37,0.6,6.94,4,0,3,2.24,21.11,6.851,140.96,T005_BACE1,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
276.83,-0.403,148.28,2,5,10,0.671,-5.714,6,2,-5.733,-0.943,-4.307,0.69,6.15,5,7,3,0.79,154.51,7.237,57.97,T005_BACE1,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
296.72,-0.237,59.92,0,7,4,0.587,-4.082,5,3,-5.493,0.26,-5.044,0.51,5.9,5,5,2,-2.253,57.28,6.294,508.52,T005_BACE1,Berberine,3,Synthetic - ML prediction tier; NOT experimental
597.32,1.82,176.06,3,9,5,0.893,-7.605,1,3,-5.842,-0.193,-1.888,0.63,3.61,0,5,2,-1.161,178.11,5.31,4894.11,T004_FactorXa,Berberine,3,Synthetic - ML prediction tier; NOT experimental
171.18,4.72,82.88,3,6,10,0.935,-4.391,1,3,-5.273,0.403,-2.603,0.87,2.71,4,7,0,-2.243,77.6,6.92,120.32,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
331.08,5.197,34.86,1,12,7,0.912,-8.71,1,4,-5.725,-0.899,-4.428,0.47,6.8,0,2,3,0.106,43.13,8.218,6.05,T007_COX2,Berberine,3,Synthetic - ML prediction tier; NOT experimental
257.29,3.171,134.1,3,5,1,0.302,-10.945,2,3,-4.005,0.432,-1.162,0.89,5.34,5,1,2,2.348,141.12,9.072,0.85,T007_COX2,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
546.85,2.553,48.2,1,4,3,0.793,-11.303,5,4,-5.262,0.411,-3.242,0.67,2.43,2,6,3,0.154,53.59,9.5,0.32,T004_FactorXa,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
374.99,3.581,81.68,6,10,10,0.641,-5.742,2,3,-4.994,0.605,-1.843,0.61,3.52,1,5,1,-0.924,90.5,6.009,979.16,T004_FactorXa,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
275.3,3.31,112.63,1,12,4,0.661,-10.799,6,1,-4.816,-0.258,-5.144,0.67,6.51,2,0,0,-2.513,121.6,7.503,31.4,T003_TLR4,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
459.05,-0.318,163.35,4,6,10,0.917,-7.878,6,3,-5.405,-1.781,-5.7,0.56,4.42,1,5,1,-1.125,167.72,5.607,2472.4,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
637.69,0.285,85.58,4,3,5,0.381,-10.581,4,1,-5.718,-1.848,-1.273,0.82,4.09,1,5,2,-1.861,78.77,8.251,5.61,T004_FactorXa,Berberine,3,Synthetic - ML prediction tier; NOT experimental
161.59,5.171,105.82,1,5,9,0.465,-11.121,4,4,-4.235,-0.037,-3.647,0.62,6.24,3,2,2,1.365,111.09,8.833,1.47,T004_FactorXa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
350.29,2.922,59.2,4,6,1,0.49,-8.122,5,2,-4.349,-0.13,-2.945,0.38,2.48,2,5,2,1.53,53.18,7.274,53.22,T001_mGluR2,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
218.52,1.498,101.06,3,4,9,0.87,-10.452,5,2,-5.675,0.972,-2.303,0.48,3.68,4,8,3,1.252,97.06,9.329,0.47,T010_ERa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
334.18,3.543,176.98,4,6,10,0.22,-7.941,6,4,-4.845,0.164,-3.082,0.4,5.15,4,6,1,1.93,171.83,6.772,169.2,T003_TLR4,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
370.52,2.013,91.94,1,8,8,0.781,-4.596,6,0,-4.588,-0.444,-3.196,0.9,4.39,3,5,1,-0.242,92.61,5.605,2481.86,T006_Mpro,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
487.93,4.706,132.11,6,6,9,0.563,-4.32,3,4,-5.403,0.824,-1.089,0.76,5.52,5,7,2,-0.121,133.32,7.286,51.78,T004_FactorXa,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
436.74,2.759,164.36,3,7,2,0.418,-9.343,6,0,-5.307,-0.673,-4.718,0.59,3.01,4,4,2,-2.176,166.68,7.322,47.64,T006_Mpro,Withanolide A,3,Synthetic - ML prediction tier; NOT experimental
271.23,3.519,109.66,5,5,0,0.275,-9.023,4,0,-4.638,-1.588,-1.177,0.89,2.79,5,7,3,0.903,114.77,8.835,1.46,T001_mGluR2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
476.15,0.893,140.8,6,2,2,0.513,-5.218,1,3,-4.424,-1.441,-2.255,0.82,3.45,0,0,2,0.408,132.95,4.498,31789.28,T004_FactorXa,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
377.17,3.348,108.65,1,10,7,0.405,-5.434,3,1,-4.538,-0.055,-2.407,0.31,3.69,2,3,1,0.666,111.42,5.392,4053.13,T004_FactorXa,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
350.42,0.072,177.25,3,7,3,0.205,-8.623,4,2,-4.092,-1.094,-2.386,0.31,5.27,5,3,0,1.007,176.56,7.001,99.75,T003_TLR4,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
493.04,5.039,163.17,6,6,1,0.679,-4.445,3,4,-5.558,0.872,-3.609,0.57,6.94,2,6,3,1.544,169.21,6.174,670.32,T007_COX2,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
412.75,2.669,84.27,4,3,0,0.822,-4.728,2,4,-4.927,-1.506,-1.728,0.57,5.4,5,7,0,2.393,83.18,6.335,462.0,T001_mGluR2,Berberine,3,Synthetic - ML prediction tier; NOT experimental
215.97,1.993,114.59,4,9,10,0.805,-6.075,4,2,-4.367,0.237,-3.108,0.33,3.72,0,8,0,2.607,105.97,6.2,630.31,T005_BACE1,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
534.49,4.095,176.75,5,8,5,0.945,-8.631,4,3,-5.84,0.892,-1.627,0.38,6.3,0,2,3,0.173,181.31,6.341,456.15,T003_TLR4,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
528.09,5.371,99.45,5,10,6,0.599,-5.325,2,3,-5.308,-1.173,-1.313,0.74,2.56,5,6,0,-1.556,90.8,6.737,183.33,T007_COX2,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
272.37,-0.235,95.84,4,5,0,0.305,-4.049,2,4,-5.362,-0.206,-2.637,0.49,3.51,1,8,1,-0.519,91.35,4.863,13708.4,T006_Mpro,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
463.0,2.063,104.34,2,12,10,0.486,-7.567,6,3,-5.183,-1.1,-5.081,0.62,3.2,1,4,1,1.835,112.64,5.55,2820.85,T006_Mpro,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
217.05,0.957,60.5,5,3,7,0.835,-10.807,6,1,-5.897,-0.868,-2.975,0.32,2.36,4,8,1,-0.124,67.89,9.083,0.83,T004_FactorXa,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
628.51,-0.408,170.57,5,3,7,0.886,-6.283,6,1,-5.207,-1.282,-4.392,0.47,4.33,5,5,2,-1.431,170.83,6.025,944.35,T007_COX2,Berberine,3,Synthetic - ML prediction tier; NOT experimental
530.81,1.421,60.47,2,8,0,0.622,-9.84,2,0,-5.478,0.804,-3.104,0.55,2.76,2,3,3,0.419,55.38,8.056,8.79,T006_Mpro,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
278.66,4.43,174.98,5,9,7,0.326,-5.538,2,1,-4.559,-0.535,-1.416,0.63,5.21,0,8,0,2.034,166.46,5.676,2109.57,T001_mGluR2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
218.75,3.284,40.2,1,2,3,0.579,-8.701,5,4,-4.174,-0.022,-5.921,0.62,4.06,0,8,2,0.214,35.93,7.998,10.04,T006_Mpro,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
553.08,4.959,46.05,0,10,2,0.381,-6.852,3,2,-5.465,-0.809,-4.135,0.54,4.83,5,3,2,1.104,53.01,7.54,28.81,T010_ERa,Gallic acid,3,Synthetic - ML prediction tier; NOT experimental
196.75,1.776,112.91,0,12,0,0.727,-10.88,4,2,-4.868,0.574,-5.523,0.62,2.21,1,7,2,-2.721,104.39,7.618,24.1,T004_FactorXa,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
431.75,-0.303,169.31,2,2,3,0.64,-5.858,6,3,-4.142,-1.102,-3.18,0.64,6.25,5,8,2,-0.697,174.11,6.633,232.6,T001_mGluR2,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
522.73,1.575,44.65,1,3,5,0.654,-6.896,5,3,-4.062,-1.021,-2.829,0.77,4.25,1,5,3,-0.409,48.25,6.301,500.42,T007_COX2,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
192.85,3.212,149.71,5,3,1,0.401,-8.65,6,1,-4.521,-1.05,-5.467,0.3,3.54,2,4,0,-2.205,143.46,6.264,544.8,T005_BACE1,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
163.13,1.623,43.96,4,7,6,0.209,-8.396,1,4,-4.19,0.935,-3.14,0.4,3.9,1,4,2,-1.39,36.88,7.353,44.32,T003_TLR4,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
287.98,1.299,147.4,2,6,3,0.741,-7.781,5,1,-5.084,-1.594,-5.966,0.54,6.21,3,5,3,-0.992,153.71,7.603,24.95,T003_TLR4,Curcumin,3,Synthetic - ML prediction tier; NOT experimental
310.33,5.184,60.13,2,4,6,0.927,-9.314,6,3,-4.064,0.346,-4.371,0.47,5.93,2,1,1,0.553,61.04,7.115,76.72,T007_COX2,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
163.46,3.863,171.45,1,9,4,0.823,-10.981,4,3,-5.722,-1.092,-4.737,0.39,4.12,3,1,3,2.944,171.03,7.775,16.77,T010_ERa,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
421.82,4.244,83.93,6,10,9,0.679,-10.863,2,2,-5.667,-0.162,-3.184,0.69,5.23,2,6,0,-2.937,79.1,9.02,0.96,T006_Mpro,Quercetin,3,Synthetic - ML prediction tier; NOT experimental
429.0,3.626,63.15,2,8,7,0.779,-7.086,5,1,-5.31,-1.926,-5.477,0.55,6.81,0,2,2,-1.129,62.26,6.45,355.16,T005_BACE1,Ellagic acid,3,Synthetic - ML prediction tier; NOT experimental
369.08,3.681,77.84,2,2,1,0.217,-8.927,1,1,-4.14,0.221,-3.42,0.63,3.65,3,7,1,1.787,80.43,8.922,1.2,T003_TLR4,Mangiferin,3,Synthetic - ML prediction tier; NOT experimental
347.79,3.924,162.46,3,11,6,0.492,-6.214,2,2,-4.495,0.426,-5.687,0.36,6.36,1,5,2,-1.818,154.74,5.571,2683.89,T007_COX2,Glycyrrhizin,3,Synthetic - ML prediction tier; NOT experimental
448.49,3.168,118.05,2,7,7,0.663,-5.397,6,2,-4.163,-0.229,-2.639,0.49,3.19,0,2,2,1.161,118.27,4.743,18088.62,T005_BACE1,Bacoside A,3,Synthetic - ML prediction tier; NOT experimental
